scope,method_code,method_name,asin,status,status_reason,sample_count,mad,poa,mae,wape,bias
day_pbf_3,M04,Moving Average,B09L62YVGX,success,,3,6.666667,116.0,6.666667,0.8,0.16
day_pbf_3,M04,Moving Average,B09RV49DW5,success,,3,1.555556,86.66666,1.555556,0.933333,-0.133333
day_pbf_3,M04,Moving Average,B09RVVQWD2,success,,3,2.666667,211.1111,2.666667,1.333333,1.111111
day_pbf_3,M04,Moving Average,B0B18XTX3L,success,,3,19.444445,137.5,19.444445,1.041667,0.375
day_pbf_3,M04,Moving Average,B0B1C64GGG,success,,3,0.444444,0.0,0.444444,0.0,0.0
day_pbf_3,M04,Moving Average,B0B8MWQZ1T,success,,3,3.888889,150.000007,3.888889,0.833333,0.5
day_pbf_3,M04,Moving Average,B0B8MZZ37D,success,,3,20.222222,65.476191,20.222222,1.083333,-0.345238
day_pbf_3,M04,Moving Average,B0B9GN2P4L,success,,3,1.333333,83.33335,1.333333,1.0,-0.166667
day_pbf_3,M04,Moving Average,B0B9RY9YMC,success,,3,7.666667,129.914528,7.666667,0.589744,0.299145
day_pbf_3,M04,Moving Average,B0B9Y3YL58,success,,3,0.444444,33.3333,0.444444,1.333333,-0.666667
day_pbf_3,M04,Moving Average,B0B9Y4DL4B,success,,3,1.0,111.1111,1.0,1.0,0.111111
day_pbf_3,M04,Moving Average,B0BG89GBDF,success,,3,2.111111,118.518511,2.111111,0.703704,0.185185
day_pbf_3,M04,Moving Average,B0BGHMLJYD,success,,3,0.666667,300.0,0.666667,2.0,2.0
day_pbf_3,M04,Moving Average,B0BJ1JKY1T,success,,3,1.666667,66.666667,1.666667,1.666667,-0.333333
day_pbf_3,M04,Moving Average,B0BJ1JW6PY,success,,3,0.777778,111.1111,0.777778,0.777778,0.111111
day_pbf_3,M04,Moving Average,B0BJ1NZV67,success,,3,1.888889,111.111111,1.888889,0.62963,0.111111
day_pbf_3,M04,Moving Average,B0BZYCBP3C,success,,3,13.888889,93.181818,13.888889,0.94697,-0.068182
day_pbf_3,M04,Moving Average,B0BZYD5VVL,success,,3,4.0,94.44445,4.0,1.0,-0.055555
day_pbf_3,M04,Moving Average,B0C1G82F7Z,success,,3,1.111111,266.6667,1.111111,1.666667,1.666667
